Model_Type,Epochs,Trial,Epsilon,Adv_Accuracy
simple_mlp,09,1,0.2,1.3
simple_mlp,09,2,0.2,1.54
simple_mlp,09,3,0.2,1.49
simple_mlp,10,1,0.2,1.88
simple_mlp,10,2,0.2,2.01
simple_mlp,10,3,0.2,1.88
robust_cnn,01,1,0.25,16.63
robust_cnn,01,2,0.25,7.01
robust_cnn,01,3,0.25,25.97
robust_cnn,02,1,0.25,11.3
robust_cnn,02,2,0.25,9.72
robust_cnn,02,3,0.25,16.16
robust_cnn,03,1,0.25,14.65
robust_cnn,03,2,0.25,16.65
robust_cnn,03,3,0.25,16.0
robust_cnn,04,1,0.25,12.05
robust_cnn,04,2,0.25,19.69
robust_cnn,04,3,0.25,16.65
robust_cnn,05,1,0.25,14.15
robust_cnn,05,2,0.25,17.42
robust_cnn,05,3,0.25,12.38
robust_cnn,06,1,0.25,15.04
robust_cnn,06,2,0.25,16.76
robust_cnn,06,3,0.25,18.3
robust_cnn,07,1,0.25,17.92
robust_cnn,07,2,0.25,16.98
robust_cnn,07,3,0.25,14.2
robust_cnn,08,1,0.25,14.47
robust_cnn,08,2,0.25,12.99
robust_cnn,08,3,0.25,12.72
robust_cnn,09,1,0.25,20.32
robust_cnn,09,2,0.25,24.16
robust_cnn,09,3,0.25,15.97
robust_cnn,10,1,0.25,22.0
robust_cnn,10,2,0.25,10.52
robust_cnn,10,3,0.25,21.01
simple_cnn,01,1,0.25,13.33
simple_cnn,01,2,0.25,6.49
simple_cnn,01,3,0.25,13.68
simple_cnn,02,1,0.25,15.18
simple_cnn,02,2,0.25,13.3
simple_cnn,02,3,0.25,10.17
simple_cnn,03,1,0.25,12.21
simple_cnn,03,2,0.25,18.32
simple_cnn,03,3,0.25,24.11
simple_cnn,04,1,0.25,10.67
simple_cnn,04,2,0.25,16.21
simple_cnn,04,3,0.25,21.26
simple_cnn,05,1,0.25,23.98
simple_cnn,05,2,0.25,21.09
simple_cnn,05,3,0.25,19.44
simple_cnn,06,1,0.25,18.24
simple_cnn,06,2,0.25,22.18
simple_cnn,06,3,0.25,23.86
simple_cnn,07,1,0.25,32.95
simple_cnn,07,2,0.25,26.51
simple_cnn,07,3,0.25,25.41
simple_cnn,08,1,0.25,32.5
simple_cnn,08,2,0.25,36.05
simple_cnn,08,3,0.25,31.91
simple_cnn,09,1,0.25,35.51
simple_cnn,09,2,0.25,31.81
simple_cnn,09,3,0.25,36.89
simple_cnn,10,1,0.25,28.89
simple_cnn,10,2,0.25,38.93
simple_cnn,10,3,0.25,37.97
simple_mlp,01,1,0.25,0.02
simple_mlp,01,2,0.25,0.04
simple_mlp,01,3,0.25,0.01
simple_mlp,02,1,0.25,0.0
simple_mlp,02,2,0.25,0.05
simple_mlp,02,3,0.25,0.0
simple_mlp,03,1,0.25,0.06
simple_mlp,03,2,0.25,0.02
simple_mlp,03,3,0.25,0.06
simple_mlp,04,1,0.25,0.07
simple_mlp,04,2,0.25,0.16
simple_mlp,04,3,0.25,0.11
simple_mlp,05,1,0.25,0.15
simple_mlp,05,2,0.25,0.23
simple_mlp,05,3,0.25,0.08
simple_mlp,06,1,0.25,0.17
simple_mlp,06,2,0.25,0.19
simple_mlp,06,3,0.25,0.33
simple_mlp,07,1,0.25,0.18
simple_mlp,07,2,0.25,0.44
simple_mlp,07,3,0.25,0.64
simple_mlp,08,1,0.25,0.21
simple_mlp,08,2,0.25,0.29
simple_mlp,08,3,0.25,0.41
simple_mlp,09,1,0.25,0.48
simple_mlp,09,2,0.25,0.54
simple_mlp,09,3,0.25,0.35
simple_mlp,10,1,0.25,0.72
simple_mlp,10,2,0.25,0.61
simple_mlp,10,3,0.25,0.51
robust_cnn,01,1,0.3,8.08
robust_cnn,01,2,0.3,5.16
robust_cnn,01,3,0.3,13.76
robust_cnn,02,1,0.3,8.04
robust_cnn,02,2,0.3,6.14
robust_cnn,02,3,0.3,11.73
robust_cnn,03,1,0.3,11.62
robust_cnn,03,2,0.3,13.23
robust_cnn,03,3,0.3,12.0
robust_cnn,04,1,0.3,9.82
robust_cnn,04,2,0.3,13.97
robust_cnn,04,3,0.3,11.82
robust_cnn,05,1,0.3,11.2
robust_cnn,05,2,0.3,13.16
robust_cnn,05,3,0.3,10.34
robust_cnn,06,1,0.3,13.06
robust_cnn,06,2,0.3,14.24
robust_cnn,06,3,0.3,15.57
robust_cnn,07,1,0.3,15.05
robust_cnn,07,2,0.3,14.51
robust_cnn,07,3,0.3,12.61
robust_cnn,08,1,0.3,11.54
robust_cnn,08,2,0.3,12.14
robust_cnn,08,3,0.3,11.62
robust_cnn,09,1,0.3,18.03
robust_cnn,09,2,0.3,19.56
robust_cnn,09,3,0.3,13.87
robust_cnn,10,1,0.3,18.05
robust_cnn,10,2,0.3,9.12
robust_cnn,10,3,0.3,17.04
simple_cnn,01,1,0.3,3.34
simple_cnn,01,2,0.3,0.92
simple_cnn,01,3,0.3,5.37
simple_cnn,02,1,0.3,4.98
simple_cnn,02,2,0.3,4.34
simple_cnn,02,3,0.3,3.29
simple_cnn,03,1,0.3,3.67
simple_cnn,03,2,0.3,10.39
simple_cnn,03,3,0.3,10.26
simple_cnn,04,1,0.3,5.68
simple_cnn,04,2,0.3,6.97
simple_cnn,04,3,0.3,7.99
simple_cnn,05,1,0.3,15.08
simple_cnn,05,2,0.3,14.65
simple_cnn,05,3,0.3,13.45
simple_cnn,06,1,0.3,11.08
simple_cnn,06,2,0.3,14.22
simple_cnn,06,3,0.3,15.85
simple_cnn,07,1,0.3,23.62
simple_cnn,07,2,0.3,17.97
simple_cnn,07,3,0.3,17.44
simple_cnn,08,1,0.3,21.82
simple_cnn,08,2,0.3,26.33
simple_cnn,08,3,0.3,20.41
simple_cnn,09,1,0.3,23.48
simple_cnn,09,2,0.3,22.25
simple_cnn,09,3,0.3,26.37
simple_cnn,10,1,0.3,19.56
simple_cnn,10,2,0.3,28.73
simple_cnn,10,3,0.3,25.91
simple_mlp,01,1,0.3,0.01
simple_mlp,01,2,0.3,0.0
simple_mlp,01,3,0.3,0.0
simple_mlp,02,1,0.3,0.0
simple_mlp,02,2,0.3,0.01
simple_mlp,02,3,0.3,0.0
simple_mlp,03,1,0.3,0.02
simple_mlp,03,2,0.3,0.02
simple_mlp,03,3,0.3,0.03
simple_mlp,04,1,0.3,0.04
simple_mlp,04,2,0.3,0.02
simple_mlp,04,3,0.3,0.04
simple_mlp,05,1,0.3,0.07
simple_mlp,05,2,0.3,0.02
simple_mlp,05,3,0.3,0.06
simple_mlp,06,1,0.3,0.04
simple_mlp,06,2,0.3,0.08
simple_mlp,06,3,0.3,0.08
simple_mlp,07,1,0.3,0.03
simple_mlp,07,2,0.3,0.18
simple_mlp,07,3,0.3,0.17
simple_mlp,08,1,0.3,0.04
simple_mlp,08,2,0.3,0.07
simple_mlp,08,3,0.3,0.13
simple_mlp,09,1,0.3,0.18
simple_mlp,09,2,0.3,0.25
simple_mlp,09,3,0.3,0.07
simple_mlp,10,1,0.3,0.25
simple_mlp,10,2,0.3,0.14
simple_mlp,10,3,0.3,0.1
robust_cnn,01,1,0.35,3.47
robust_cnn,01,2,0.35,3.87
robust_cnn,01,3,0.35,7.86
robust_cnn,02,1,0.35,6.21
robust_cnn,02,2,0.35,4.65
robust_cnn,02,3,0.35,9.95
robust_cnn,03,1,0.35,9.65
robust_cnn,03,2,0.35,11.01
robust_cnn,03,3,0.35,9.64
robust_cnn,04,1,0.35,8.41
robust_cnn,04,2,0.35,10.69
robust_cnn,04,3,0.35,8.83
robust_cnn,05,1,0.35,9.34
robust_cnn,05,2,0.35,10.85
robust_cnn,05,3,0.35,8.67
robust_cnn,06,1,0.35,11.52
robust_cnn,06,2,0.35,12.13
robust_cnn,06,3,0.35,13.99
robust_cnn,07,1,0.35,13.58
robust_cnn,07,2,0.35,12.76
robust_cnn,07,3,0.35,11.69
robust_cnn,08,1,0.35,9.66
robust_cnn,08,2,0.35,11.75
robust_cnn,08,3,0.35,10.96
robust_cnn,09,1,0.35,16.16
robust_cnn,09,2,0.35,16.31
robust_cnn,09,3,0.35,11.75
robust_cnn,10,1,0.35,15.43
robust_cnn,10,2,0.35,8.29
robust_cnn,10,3,0.35,14.61
simple_cnn,01,1,0.35,0.78
simple_cnn,01,2,0.35,0.27
simple_cnn,01,3,0.35,2.32
simple_cnn,02,1,0.35,1.71
simple_cnn,02,2,0.35,1.72
simple_cnn,02,3,0.35,1.2
simple_cnn,03,1,0.35,1.62
simple_cnn,03,2,0.35,6.89
simple_cnn,03,3,0.35,4.42
simple_cnn,04,1,0.35,3.58
simple_cnn,04,2,0.35,4.01
simple_cnn,04,3,0.35,4.36
simple_cnn,05,1,0.35,11.12
simple_cnn,05,2,0.35,11.29
simple_cnn,05,3,0.35,9.98
simple_cnn,06,1,0.35,6.83
simple_cnn,06,2,0.35,8.77
simple_cnn,06,3,0.35,11.97
simple_cnn,07,1,0.35,17.71
simple_cnn,07,2,0.35,13.57
simple_cnn,07,3,0.35,12.96
simple_cnn,08,1,0.35,16.86
simple_cnn,08,2,0.35,19.71
simple_cnn,08,3,0.35,13.8
simple_cnn,09,1,0.35,16.04
simple_cnn,09,2,0.35,16.47
simple_cnn,09,3,0.35,20.8
simple_cnn,10,1,0.35,14.09
simple_cnn,10,2,0.35,22.48
simple_cnn,10,3,0.35,18.73
simple_mlp,01,1,0.35,0.0
simple_mlp,01,2,0.35,0.0
simple_mlp,01,3,0.35,0.0
simple_mlp,02,1,0.35,0.0
simple_mlp,02,2,0.35,0.0
simple_mlp,02,3,0.35,0.0
simple_mlp,03,1,0.35,0.02
simple_mlp,03,2,0.35,0.0
simple_mlp,03,3,0.35,0.02
simple_mlp,04,1,0.35,0.0
simple_mlp,04,2,0.35,0.01
simple_mlp,04,3,0.35,0.02
simple_mlp,05,1,0.35,0.02
simple_mlp,05,2,0.35,0.01
simple_mlp,05,3,0.35,0.01
simple_mlp,06,1,0.35,0.03
simple_mlp,06,2,0.35,0.02
simple_mlp,06,3,0.35,0.06
simple_mlp,07,1,0.35,0.01
simple_mlp,07,2,0.35,0.08
simple_mlp,07,3,0.35,0.03
simple_mlp,08,1,0.35,0.01
simple_mlp,08,2,0.35,0.05
simple_mlp,08,3,0.35,0.03
simple_mlp,09,1,0.35,0.12
simple_mlp,09,2,0.35,0.12
simple_mlp,09,3,0.35,0.0
simple_mlp,10,1,0.35,0.08
simple_mlp,10,2,0.35,0.06
simple_mlp,10,3,0.35,0.03
robust_cnn,01,1,0.4,2.07
robust_cnn,01,2,0.4,2.95
robust_cnn,01,3,0.4,5.61
robust_cnn,02,1,0.4,5.21
robust_cnn,02,2,0.4,3.74
robust_cnn,02,3,0.4,9.1
robust_cnn,03,1,0.4,8.23
robust_cnn,03,2,0.4,9.4
robust_cnn,03,3,0.4,8.37
robust_cnn,04,1,0.4,7.19
robust_cnn,04,2,0.4,8.47
robust_cnn,04,3,0.4,6.7
robust_cnn,05,1,0.4,8.11
robust_cnn,05,2,0.4,9.43
robust_cnn,05,3,0.4,7.38
robust_cnn,06,1,0.4,10.4
robust_cnn,06,2,0.4,10.81
robust_cnn,06,3,0.4,12.97
robust_cnn,07,1,0.4,12.16
robust_cnn,07,2,0.4,11.45
robust_cnn,07,3,0.4,11.15
robust_cnn,08,1,0.4,8.49
robust_cnn,08,2,0.4,11.34
robust_cnn,08,3,0.4,10.47
robust_cnn,09,1,0.4,14.38
robust_cnn,09,2,0.4,14.11
robust_cnn,09,3,0.4,10.47
robust_cnn,10,1,0.4,13.32
robust_cnn,10,2,0.4,7.63
robust_cnn,10,3,0.4,12.99
simple_cnn,01,1,0.4,0.14
simple_cnn,01,2,0.4,0.14
simple_cnn,01,3,0.4,1.66
simple_cnn,02,1,0.4,0.73
simple_cnn,02,2,0.4,1.02
simple_cnn,02,3,0.4,0.71
simple_cnn,03,1,0.4,1.12
simple_cnn,03,2,0.4,4.7
simple_cnn,03,3,0.4,2.98
simple_cnn,04,1,0.4,2.74
simple_cnn,04,2,0.4,2.97
simple_cnn,04,3,0.4,3.05
simple_cnn,05,1,0.4,9.18
simple_cnn,05,2,0.4,9.37
simple_cnn,05,3,0.4,7.79
simple_cnn,06,1,0.4,4.38
simple_cnn,06,2,0.4,5.64
simple_cnn,06,3,0.4,9.82
simple_cnn,07,1,0.4,14.27
simple_cnn,07,2,0.4,11.17
simple_cnn,07,3,0.4,10.54
simple_cnn,08,1,0.4,14.31
simple_cnn,08,2,0.4,15.77
simple_cnn,08,3,0.4,11.13
simple_cnn,09,1,0.4,11.75
simple_cnn,09,2,0.4,13.48
simple_cnn,09,3,0.4,17.41
simple_cnn,10,1,0.4,10.92
simple_cnn,10,2,0.4,19.14
simple_cnn,10,3,0.4,15.22
simple_mlp,01,1,0.4,0.0
simple_mlp,01,2,0.4,0.0
simple_mlp,01,3,0.4,0.0
simple_mlp,02,1,0.4,0.0
simple_mlp,02,2,0.4,0.0
simple_mlp,02,3,0.4,0.0
simple_mlp,03,1,0.4,0.01
simple_mlp,03,2,0.4,0.0
simple_mlp,03,3,0.4,0.0
simple_mlp,04,1,0.4,0.0
simple_mlp,04,2,0.4,0.0
simple_mlp,04,3,0.4,0.0
simple_mlp,05,1,0.4,0.01
simple_mlp,05,2,0.4,0.0
simple_mlp,05,3,0.4,0.0
simple_mlp,06,1,0.4,0.03
simple_mlp,06,2,0.4,0.0
simple_mlp,06,3,0.4,0.04
simple_mlp,07,1,0.4,0.0
simple_mlp,07,2,0.4,0.04
simple_mlp,07,3,0.4,0.01
simple_mlp,08,1,0.4,0.0
simple_mlp,08,2,0.4,0.03
simple_mlp,08,3,0.4,0.0
simple_mlp,09,1,0.4,0.05
simple_mlp,09,2,0.4,0.08
simple_mlp,09,3,0.4,0.0
simple_mlp,10,1,0.4,0.04
simple_mlp,10,2,0.4,0.01
simple_mlp,10,3,0.4,0.01
robust_cnn,01,1,0.45,1.84
robust_cnn,01,2,0.45,2.35
robust_cnn,01,3,0.45,4.86
robust_cnn,02,1,0.45,4.72
robust_cnn,02,2,0.45,3.57
robust_cnn,02,3,0.45,8.82
robust_cnn,03,1,0.45,7.19
robust_cnn,03,2,0.45,8.08
robust_cnn,03,3,0.45,7.44
robust_cnn,04,1,0.45,6.32
